,Posted,Job Title,Company,LINK,Location
376,2022-12-05,Senior Backend Engineer,Emma – The Sleep Company,https://ro.linkedin.com/jobs/view/senior-backend-engineer-at-emma-%E2%80%93-the-sleep-company-3385966394?refId=5zzWyvbWxwjthepoUlICkw%3D%3D&trackingId=L66UfThqYaa%2FSbGmiF3ggA%3D%3D&position=2&pageNum=15&trk=public_jobs_jserp-result_search-card,Romania
377,2022-11-16,Senior Frontend Software Engineer,TransPerfect,https://ro.linkedin.com/jobs/view/senior-frontend-software-engineer-at-transperfect-3356615866?refId=5zzWyvbWxwjthepoUlICkw%3D%3D&trackingId=PAXOzjSul691heuJcD8mgA%3D%3D&position=3&pageNum=15&trk=public_jobs_jserp-result_search-card,"Bucharest, Romania"
378,2022-11-18,Senior Full Stack .NET Developer (Remote),Plain Concepts,https://ro.linkedin.com/jobs/view/senior-full-stack-net-developer-remote-at-plain-concepts-3365743541?refId=5zzWyvbWxwjthepoUlICkw%3D%3D&trackingId=94BXti3to9u2ixWo1HSCGg%3D%3D&position=4&pageNum=15&trk=public_jobs_jserp-result_search-card,Romania
379,2022-11-14,Remote Senior Python Developer Jobs,Turing,https://ro.linkedin.com/jobs/view/remote-senior-python-developer-jobs-at-turing-3390705030?refId=5zzWyvbWxwjthepoUlICkw%3D%3D&trackingId=PDMyriefT1qszbmZIBUWcw%3D%3D&position=5&pageNum=15&trk=public_jobs_jserp-result_search-card,Romania
380,2022-12-07,Fullstack Software Engineer (Microsoft Teams),Microsoft,https://ro.linkedin.com/jobs/view/fullstack-software-engineer-microsoft-teams-at-microsoft-3388063594?refId=5zzWyvbWxwjthepoUlICkw%3D%3D&trackingId=G7WctLEaZnDBx4uhFHL3gA%3D%3D&position=6&pageNum=15&trk=public_jobs_jserp-result_search-card,"Neamţ, Romania"
381,2022-11-17,Senior Frontend Developer with React,Xperi Inc.,https://ro.linkedin.com/jobs/view/senior-frontend-developer-with-react-at-xperi-inc-3357588020?refId=5zzWyvbWxwjthepoUlICkw%3D%3D&trackingId=goXQFitZm0HCA8q1GD78Ng%3D%3D&position=7&pageNum=15&trk=public_jobs_jserp-result_search-card,"Iaşi, Romania"
382,2022-12-05,Full Stack Developer,Luxoft,https://ro.linkedin.com/jobs/view/full-stack-developer-at-luxoft-3387966887?refId=5zzWyvbWxwjthepoUlICkw%3D%3D&trackingId=i5qaAjw2eQFf%2FlK82Q2E6Q%3D%3D&position=8&pageNum=15&trk=public_jobs_jserp-result_search-card,"Bucharest, Romania"
383,2022-12-07,Fullstack Software Engineer (Microsoft Teams),Microsoft,https://ro.linkedin.com/jobs/view/fullstack-software-engineer-microsoft-teams-at-microsoft-3388062726?refId=5zzWyvbWxwjthepoUlICkw%3D%3D&trackingId=MnfRYHHfnwd7DT6XYGZiHA%3D%3D&position=9&pageNum=15&trk=public_jobs_jserp-result_search-card,"Timişoara, Timiş, Romania"
384,2022-12-08,Middle Backend Developer,Luxoft,https://ro.linkedin.com/jobs/view/middle-backend-developer-at-luxoft-3393071740?refId=5zzWyvbWxwjthepoUlICkw%3D%3D&trackingId=0vTT4pEt9poJZJIG3hxCqQ%3D%3D&position=10&pageNum=15&trk=public_jobs_jserp-result_search-card,"Bucharest, Romania"
385,2022-12-07,Fullstack Software Engineer (Microsoft Teams),Microsoft,https://ro.linkedin.com/jobs/view/fullstack-software-engineer-microsoft-teams-at-microsoft-3388063598?refId=5zzWyvbWxwjthepoUlICkw%3D%3D&trackingId=3D%2FWbUb4TYTgb4XbfFqcqw%3D%3D&position=11&pageNum=15&trk=public_jobs_jserp-result_search-card,"Vaslui, Vaslui, Romania"
386,2022-11-22,Backend Developer - PokerStars,Betfair Romania Development,https://ro.linkedin.com/jobs/view/backend-developer-pokerstars-at-betfair-romania-development-3366735548?refId=5zzWyvbWxwjthepoUlICkw%3D%3D&trackingId=Yzq00kfxRYD0YtaXAsoKdw%3D%3D&position=12&pageNum=15&trk=public_jobs_jserp-result_search-card,"Cluj, Romania"
387,2022-11-23,Senior FullStack Systems Engineer,AMS Accelerate IT,https://ro.linkedin.com/jobs/view/senior-fullstack-systems-engineer-at-ams-accelerate-it-3372773575?refId=5zzWyvbWxwjthepoUlICkw%3D%3D&trackingId=YH1ENa%2FU%2FwJI3ioM95GnPg%3D%3D&position=13&pageNum=15&trk=public_jobs_jserp-result_search-card,Bucharest Metropolitan Area
388,2022-12-06,Senior Full Stack Developer,Luxoft,https://ro.linkedin.com/jobs/view/senior-full-stack-developer-at-luxoft-3352515880?refId=5zzWyvbWxwjthepoUlICkw%3D%3D&trackingId=dokwsm7IxBQ5UKIKZNJDOA%3D%3D&position=14&pageNum=15&trk=public_jobs_jserp-result_search-card,Romania
389,2022-12-12,"Principal Software Engineer, Trilogy (Remote) - $100,000/year USD",Crossover,https://ro.linkedin.com/jobs/view/principal-software-engineer-trilogy-remote-%24100-000-year-usd-at-crossover-3388001117?refId=5zzWyvbWxwjthepoUlICkw%3D%3D&trackingId=e7Y191z80R7dInAv%2FjHGZA%3D%3D&position=15&pageNum=15&trk=public_jobs_jserp-result_search-card,"Bucharest, Bucharest, Romania"
390,2022-11-25,Senior Ruby on Rails Developer - Romania,Agnos Inc.,https://ro.linkedin.com/jobs/view/senior-ruby-on-rails-developer-romania-at-agnos-inc-3369208131?refId=5zzWyvbWxwjthepoUlICkw%3D%3D&trackingId=IDedrstGGbUZL73Jnj59ng%3D%3D&position=16&pageNum=15&trk=public_jobs_jserp-result_search-card,Romania
391,2022-12-12,"C Developer, Trilogy (Remote) - $100,000/year USD",Crossover,https://ro.linkedin.com/jobs/view/c-developer-trilogy-remote-%24100-000-year-usd-at-crossover-3388001116?refId=5zzWyvbWxwjthepoUlICkw%3D%3D&trackingId=4qS0%2FVMQUXTGIL2gFRAsNw%3D%3D&position=17&pageNum=15&trk=public_jobs_jserp-result_search-card,"Bucharest, Bucharest, Romania"
392,2022-11-23,Full Stack Developer - Fan Duel,Betfair Romania Development,https://ro.linkedin.com/jobs/view/full-stack-developer-fan-duel-at-betfair-romania-development-3369060824?refId=5zzWyvbWxwjthepoUlICkw%3D%3D&trackingId=NMui8fUA1ynCqVc1p2uASA%3D%3D&position=18&pageNum=15&trk=public_jobs_jserp-result_search-card,"Cluj-Napoca, Cluj, Romania"
393,2022-11-22,Senior Full Stack Developer,Luxoft,https://ro.linkedin.com/jobs/view/senior-full-stack-developer-at-luxoft-3370715194?refId=5zzWyvbWxwjthepoUlICkw%3D%3D&trackingId=iPrKSEmTxIhqmp16rpGjJQ%3D%3D&position=19&pageNum=15&trk=public_jobs_jserp-result_search-card,Romania
394,2022-12-06,"Senior Frontend Developer (TypeScript/JavaScript with Angular, React, Vue)",BearingPoint,https://ro.linkedin.com/jobs/view/senior-frontend-developer-typescript-javascript-with-angular-react-vue-at-bearingpoint-3389346925?refId=5zzWyvbWxwjthepoUlICkw%3D%3D&trackingId=3%2FlrF0PtdWIoBzV9sq4arg%3D%3D&position=20&pageNum=15&trk=public_jobs_jserp-result_search-card,Romania
395,2022-11-29,Senior Software Engineer,LSEG (London Stock Exchange Group),https://ro.linkedin.com/jobs/view/senior-software-engineer-at-lseg-london-stock-exchange-group-3325395084?refId=5zzWyvbWxwjthepoUlICkw%3D%3D&trackingId=LDfLbZRMpa3%2FKYzc6aOKJw%3D%3D&position=21&pageNum=15&trk=public_jobs_jserp-result_search-card,"Bucharest, Bucharest, Romania"
396,2022-11-16,Full Stack Engineer,Luxoft,https://ro.linkedin.com/jobs/view/full-stack-engineer-at-luxoft-3361999903?refId=5zzWyvbWxwjthepoUlICkw%3D%3D&trackingId=aAiCuWsFQkEhLdk0pHpgzg%3D%3D&position=22&pageNum=15&trk=public_jobs_jserp-result_search-card,Romania
397,2022-12-05,Senior .Net Fullstack Developer,AMS Accelerate IT,https://ro.linkedin.com/jobs/view/senior-net-fullstack-developer-at-ams-accelerate-it-3388270487?refId=5zzWyvbWxwjthepoUlICkw%3D%3D&trackingId=Z10rDEswLN%2BKelbtf99FeA%3D%3D&position=23&pageNum=15&trk=public_jobs_jserp-result_search-card,Romania
398,2022-12-12,Full Stack Engineer - M. Risk Check,METRO.digital,https://ro.linkedin.com/jobs/view/full-stack-engineer-m-risk-check-at-metro-digital-3397149357?refId=5zzWyvbWxwjthepoUlICkw%3D%3D&trackingId=VM%2BvLU6ryd1JElzJ8ey0Cw%3D%3D&position=24&pageNum=15&trk=public_jobs_jserp-result_search-card,Romania
399,2022-12-07,Fullstack Software Engineer (Microsoft Teams),Microsoft,https://ro.linkedin.com/jobs/view/fullstack-software-engineer-microsoft-teams-at-microsoft-3388067129?refId=5zzWyvbWxwjthepoUlICkw%3D%3D&trackingId=ltCdVnTWQWAl5PMTeC85Bw%3D%3D&position=25&pageNum=15&trk=public_jobs_jserp-result_search-card,"Călăraşi, Călăraşi, Romania"
400,2022-12-12,"C Developer, Trilogy (Remote) - $100,000/year USD",Crossover,https://ro.linkedin.com/jobs/view/c-developer-trilogy-remote-%24100-000-year-usd-at-crossover-3388004012?refId=6k7PgHcyDiODRIMlbXpJHw%3D%3D&trackingId=WPRbYJ1NatB45CMM%2BKW5FQ%3D%3D&position=1&pageNum=16&trk=public_jobs_jserp-result_search-card,"Cluj-Napoca, Cluj, Romania"
401,2022-12-12,"Principal Software Engineer, Trilogy (Remote) - $100,000/year USD",Crossover,https://ro.linkedin.com/jobs/view/principal-software-engineer-trilogy-remote-%24100-000-year-usd-at-crossover-3388001233?refId=6k7PgHcyDiODRIMlbXpJHw%3D%3D&trackingId=d4z8H%2BNYp0W%2FXGurzRUnBg%3D%3D&position=2&pageNum=16&trk=public_jobs_jserp-result_search-card,"Cluj-Napoca, Cluj, Romania"
402,2022-12-04,"(Senior) Software Engineer, Full-Stack Developer",SES Satellites,https://ro.linkedin.com/jobs/view/senior-software-engineer-full-stack-developer-at-ses-satellites-3125745606?refId=6k7PgHcyDiODRIMlbXpJHw%3D%3D&trackingId=N1%2B1gnCVSKAhojtNpIXHZg%3D%3D&position=3&pageNum=16&trk=public_jobs_jserp-result_search-card,"Bucharest, Bucharest, Romania"
403,2022-11-28,Senior QA Engineer Automation (with Python),Luxoft,https://ro.linkedin.com/jobs/view/senior-qa-engineer-automation-with-python-at-luxoft-3378424039?refId=6k7PgHcyDiODRIMlbXpJHw%3D%3D&trackingId=RCRhwLaWDMM6p9dkprOJ9w%3D%3D&position=4&pageNum=16&trk=public_jobs_jserp-result_search-card,Romania
404,2022-11-14,Remote Back-End Python Engineer Jobs,Turing,https://ro.linkedin.com/jobs/view/remote-back-end-python-engineer-jobs-at-turing-3390700651?refId=6k7PgHcyDiODRIMlbXpJHw%3D%3D&trackingId=HQY793ePGuA8Py8GTY3zNQ%3D%3D&position=5&pageNum=16&trk=public_jobs_jserp-result_search-card,Romania
405,2022-11-17,Mid/Senior Java Developer (Back-End ),Human Rise,https://ro.linkedin.com/jobs/view/mid-senior-java-developer-back-end-at-human-rise-3393820682?refId=6k7PgHcyDiODRIMlbXpJHw%3D%3D&trackingId=CzGpaClnSKtQHsJbd3WMTg%3D%3D&position=6&pageNum=16&trk=public_jobs_jserp-result_search-card,"Iaşi, Iaşi, Romania"
406,2022-12-07,Fullstack Software Engineer (Microsoft Teams),Microsoft,https://ro.linkedin.com/jobs/view/fullstack-software-engineer-microsoft-teams-at-microsoft-3388063591?refId=6k7PgHcyDiODRIMlbXpJHw%3D%3D&trackingId=jKYONDPbONAsJcaNGSjz4A%3D%3D&position=7&pageNum=16&trk=public_jobs_jserp-result_search-card,"Tulcea, Tulcea, Romania"
407,2022-11-14,Remote Senior Python Developer Jobs,Turing,https://ro.linkedin.com/jobs/view/remote-senior-python-developer-jobs-at-turing-3390704621?refId=6k7PgHcyDiODRIMlbXpJHw%3D%3D&trackingId=7yXDXqkogkzqykQR5HRC5w%3D%3D&position=8&pageNum=16&trk=public_jobs_jserp-result_search-card,Romania
