,Posted,Job Title,Company,LINK,Location
31,2022-11-14,CRM - Front End Web Developer,Ubisoft,https://ro.linkedin.com/jobs/view/crm-front-end-web-developer-at-ubisoft-3389559356?refId=qby9AKynzhWv3XR%2By05xmg%3D%3D&trackingId=1TGgH%2Fka8EzMkYtiDKY9UA%3D%3D&position=7&pageNum=1&trk=public_jobs_jserp-result_search-card,"Bucharest, Bucharest, Romania"
32,2022-12-04,Front-End Developer,Arcadis,https://ro.linkedin.com/jobs/view/front-end-developer-at-arcadis-3325241240?refId=qby9AKynzhWv3XR%2By05xmg%3D%3D&trackingId=VX%2Bz%2BHNN8GRJ0r%2FI%2BX455w%3D%3D&position=8&pageNum=1&trk=public_jobs_jserp-result_search-card,"Bucharest, Bucharest, Romania"
33,2022-12-05,BackEnd (Node.js) Developer,Moon Active,https://ro.linkedin.com/jobs/view/backend-node-js-developer-at-moon-active-3388448750?refId=qby9AKynzhWv3XR%2By05xmg%3D%3D&trackingId=mX6uMxPQcsivlnAKekyuGw%3D%3D&position=9&pageNum=1&trk=public_jobs_jserp-result_search-card,"Bucharest, Bucharest, Romania"
34,2022-12-08,Full Stack Developer with React&Node.JS,Feel IT Services,https://ro.linkedin.com/jobs/view/full-stack-developer-with-react-node-js-at-feel-it-services-3389706771?refId=qby9AKynzhWv3XR%2By05xmg%3D%3D&trackingId=mUvw9%2BpWIxcVDnOgg43Nlg%3D%3D&position=10&pageNum=1&trk=public_jobs_jserp-result_search-card,Iasi Metropolitan Area
35,2022-12-03,Front-End Developer,Arcadis,https://ro.linkedin.com/jobs/view/front-end-developer-at-arcadis-3325237599?refId=qby9AKynzhWv3XR%2By05xmg%3D%3D&trackingId=Jz%2FKEmLEqZPTiaO5%2BfPKqg%3D%3D&position=11&pageNum=1&trk=public_jobs_jserp-result_search-card,"Iaşi, Iaşi, Romania"
36,2022-12-07,Fullstack Software Engineer (Microsoft Teams),Microsoft,https://ro.linkedin.com/jobs/view/fullstack-software-engineer-microsoft-teams-at-microsoft-3388062732?refId=qby9AKynzhWv3XR%2By05xmg%3D%3D&trackingId=xbs%2BGv5cdG7crp8kCCb8jw%3D%3D&position=12&pageNum=1&trk=public_jobs_jserp-result_search-card,"Bucharest, Bucharest, Romania"
37,2022-11-23,Full Stack Engineer,Jobzzle,https://ro.linkedin.com/jobs/view/full-stack-engineer-at-jobzzle-3368387609?refId=qby9AKynzhWv3XR%2By05xmg%3D%3D&trackingId=AO393WxyjJhq047NkcRxGw%3D%3D&position=13&pageNum=1&trk=public_jobs_jserp-result_search-card,"Cluj-Napoca, Cluj, Romania"
38,2022-12-07,Fullstack Software Engineer (Microsoft Teams),Microsoft,https://ro.linkedin.com/jobs/view/fullstack-software-engineer-microsoft-teams-at-microsoft-3388064193?refId=qby9AKynzhWv3XR%2By05xmg%3D%3D&trackingId=XZtCM2wfrV4U4PE994uy0Q%3D%3D&position=14&pageNum=1&trk=public_jobs_jserp-result_search-card,"Bucharest, Bucharest, Romania"
39,2022-11-23,Frontend Engineer,Binance,https://ro.linkedin.com/jobs/view/frontend-engineer-at-binance-3311531398?refId=qby9AKynzhWv3XR%2By05xmg%3D%3D&trackingId=plBTY6y0mfzh9gJn%2FHkJDA%3D%3D&position=15&pageNum=1&trk=public_jobs_jserp-result_search-card,"Iaşi, Iaşi, Romania"
40,2022-11-25,Full Stack Engineer,East Wolf,https://ro.linkedin.com/jobs/view/full-stack-engineer-at-east-wolf-3371509455?refId=qby9AKynzhWv3XR%2By05xmg%3D%3D&trackingId=2bmeiqbWwL0l9vSolI8HJw%3D%3D&position=16&pageNum=1&trk=public_jobs_jserp-result_search-card,"Bucharest, Romania"
41,2022-12-07,Fullstack Software Engineer (Microsoft Teams),Microsoft,https://ro.linkedin.com/jobs/view/fullstack-software-engineer-microsoft-teams-at-microsoft-3388062722?refId=qby9AKynzhWv3XR%2By05xmg%3D%3D&trackingId=BUHum6aqsI8%2Bg4EN8Xp3kw%3D%3D&position=17&pageNum=1&trk=public_jobs_jserp-result_search-card,"Buzău, Buzău, Romania"
42,2022-12-07,Fullstack Software Engineer (Microsoft Teams),Microsoft,https://ro.linkedin.com/jobs/view/fullstack-software-engineer-microsoft-teams-at-microsoft-3388063596?refId=qby9AKynzhWv3XR%2By05xmg%3D%3D&trackingId=fa0VWKojNXH2CqjKBNgOGQ%3D%3D&position=18&pageNum=1&trk=public_jobs_jserp-result_search-card,"Vrancea, Romania"
43,2022-12-07,Fullstack Software Engineer (Microsoft Teams),Microsoft,https://ro.linkedin.com/jobs/view/fullstack-software-engineer-microsoft-teams-at-microsoft-3388066179?refId=qby9AKynzhWv3XR%2By05xmg%3D%3D&trackingId=GOll9YCyaieHGiOL8ssQ0Q%3D%3D&position=19&pageNum=1&trk=public_jobs_jserp-result_search-card,"Ilfov, Romania"
44,2022-12-07,Fullstack Software Engineer (Microsoft Teams),Microsoft,https://ro.linkedin.com/jobs/view/fullstack-software-engineer-microsoft-teams-at-microsoft-3388068017?refId=qby9AKynzhWv3XR%2By05xmg%3D%3D&trackingId=EMK3VeJnVS04GTV5PPjTeA%3D%3D&position=20&pageNum=1&trk=public_jobs_jserp-result_search-card,"Vâlcea, Romania"
45,2022-12-07,Fullstack Software Engineer (Microsoft Teams),Microsoft,https://ro.linkedin.com/jobs/view/fullstack-software-engineer-microsoft-teams-at-microsoft-3388066178?refId=qby9AKynzhWv3XR%2By05xmg%3D%3D&trackingId=QX6WKpxM1dGo3lnCZM9WuQ%3D%3D&position=21&pageNum=1&trk=public_jobs_jserp-result_search-card,"Teleorman, Romania"
46,2022-12-01,Full Stack Developer,Safeguard Global,https://ro.linkedin.com/jobs/view/full-stack-developer-at-safeguard-global-3353017770?refId=qby9AKynzhWv3XR%2By05xmg%3D%3D&trackingId=ydUb%2BYqkMtxAaP0h4p2e4Q%3D%3D&position=22&pageNum=1&trk=public_jobs_jserp-result_search-card,Romania
47,2022-12-07,Fullstack Software Engineer (Microsoft Teams),Microsoft,https://ro.linkedin.com/jobs/view/fullstack-software-engineer-microsoft-teams-at-microsoft-3388065198?refId=qby9AKynzhWv3XR%2By05xmg%3D%3D&trackingId=At6HasVUeZbaHDJ5zceIPQ%3D%3D&position=23&pageNum=1&trk=public_jobs_jserp-result_search-card,"Caraş-Severin, Romania"
48,2022-12-07,Fullstack Software Engineer (Microsoft Teams),Microsoft,https://ro.linkedin.com/jobs/view/fullstack-software-engineer-microsoft-teams-at-microsoft-3388065202?refId=qby9AKynzhWv3XR%2By05xmg%3D%3D&trackingId=mf%2Fy%2FFqtiTMw2imLaEaS9A%3D%3D&position=24&pageNum=1&trk=public_jobs_jserp-result_search-card,"Prahova, Romania"
49,2022-12-12,Full Stack Django Developer (Remote),DontPayFull,https://ro.linkedin.com/jobs/view/full-stack-django-developer-remote-at-dontpayfull-3397721804?refId=qby9AKynzhWv3XR%2By05xmg%3D%3D&trackingId=Wy9FDVjmW0K%2BmCIdCzL9lg%3D%3D&position=25&pageNum=1&trk=public_jobs_jserp-result_search-card,Romania
